ID,year,model,brand,AmountSold
1,2008,cruiser,toyota,274117
2,2011,se,ford,190552
3,2018,mpv,dodge,39590
4,2014,door,ford,64146
5,2018,1500,chevrolet,6654
6,2018,mpv,dodge,45561
7,2010,pk,chevrolet,149050
8,2017,door,gmc,23525
9,2018,malibu,chevrolet,9371
10,2017,mpv,ford,63418
11,2009,coupe,dodge,107856
12,2017,mpv,gmc,39650
13,2018,1500,chevrolet,22909
14,2017,wagon,chrysler,138650
15,2013,door,ford,100757
16,2017,door,gmc,25747
17,2018,forte,kia,46194
18,2018,encore,buick,20002
19,2017,mpv,ford,35714
20,2013,door,ford,54380
21,2017,door,gmc,30114
22,2018,forte,kia,38823
23,2015,door,chevrolet,61578
24,2017,mpv,ford,46010
25,2013,door,ford,105510
26,2017,door,gmc,28040
27,2020,sorento,kia,11451
28,2014,door,buick,31039
29,2017,doors,ford,44174
30,2008,chassis,ford,93698
31,2017,door,gmc,26364
32,2016,q70,infiniti,71967
33,1973,camaro,chevrolet,46226
34,2017,mpv,ford,37792
35,2003,convertible,ford,58817
36,2017,door,gmc,27965
37,2016,vans,mercedes-benz,110907
38,2018,1500,chevrolet,2430
39,2017,mpv,ford,32366
40,2003,pk,ford,176567
41,2017,door,gmc,30049
42,2016,vans,mercedes-benz,97983
43,2018,1500,chevrolet,30442
44,2017,mpv,ford,38123
45,2017,srw,ford,15273
46,2017,door,gmc,28972
47,2019,compass,jeep,30061
48,2017,malibu,chevrolet,18414
49,2017,mpv,dodge,46829
50,2017,srw,ford,26241
51,2017,mpv,gmc,39886
52,2019,compass,jeep,31594
53,2017,enclave,buick,32107
54,2017,mpv,ford,44794
55,2019,300,chrysler,42648
56,2017,mpv,gmc,39165
57,2019,cherokee,jeep,38355
58,2017,door,buick,46766
59,2020,pacifica,chrysler,2473
60,2019,300,chrysler,38586
61,2017,door,gmc,27842
62,2019,cherokee,jeep,31156
63,2017,door,chevrolet,52435
64,2017,door,ford,29942
65,2019,pacifica,chrysler,25281
66,2017,door,gmc,32504
67,2019,cherokee,jeep,28649
68,2017,door,chevrolet,35200
69,2017,door,ford,25602
70,2019,300,chrysler,34801
71,2017,door,gmc,31009
72,2019,compass,jeep,35595
73,2017,x3,bmw,23765
74,2017,door,ford,31792
75,2019,300,chrysler,33135
76,2017,door,gmc,30636
77,2019,compass,jeep,34502
78,2017,door,buick,25434
79,2017,door,ford,36732
80,2019,300,chrysler,41792
81,2017,door,gmc,31992
82,2019,compass,jeep,32501
83,2017,camaro,chevrolet,28395
84,2017,door,ford,36139
85,2016,door,ford,84413
86,2017,door,gmc,33457
87,2019,compass,jeep,29245
88,2017,equinox,chevrolet,12783
89,2017,door,ford,17617
90,2016,door,ford,36855
91,2017,door,ford,110316
92,2015,door,chrysler,88227
93,2017,door,bmw,17626
94,2017,door,ford,120353
95,2015,challenger,dodge,3641
96,2017,m,bmw,29355
97,2017,door,ford,39333
98,2015,door,ford,42930
99,2017,colorado,chevrolet,24993
100,2017,mpv,ford,44929
101,2018,focus,ford,16971
102,2017,door,cadillac,35598
103,2017,mpv,ford,40455
104,2018,focus,ford,23164
105,2017,door,cadillac,19011
106,2017,mpv,ford,45191
107,2018,focus,ford,21405
108,2017,malibu,chevrolet,19117
109,2017,door,ford,42104
110,2018,durango,dodge,49496
111,2017,door,cadillac,32418
112,2017,mpv,ford,29882
113,2018,escape,ford,34819
114,2017,1500,chevrolet,31923
115,2017,mpv,ford,29168
116,2018,charger,dodge,28307
117,2017,colorado,chevrolet,33791
118,2017,door,ford,21770
119,2017,pacifica,chrysler,18375
120,2017,colorado,chevrolet,14158
121,2017,mpv,ford,30318
122,2017,door,ford,48086
123,2017,door,cadillac,26562
124,2017,explorer,ford,57611
125,2017,colorado,chevrolet,47357
126,2017,door,ford,84916
127,2017,f-150,ford,24521
128,2018,3500,chevrolet,16105
129,2017,mpv,ford,35888
130,2017,caravan,dodge,59537
131,2017,1500,chevrolet,55222
132,2018,mpv,dodge,32870
133,2017,door,chevrolet,39687
134,2018,mpv,dodge,47085
135,2017,van,chrysler,32224
136,2017,1500,chevrolet,51293
137,2018,mpv,dodge,42989
138,2017,300,chrysler,31311
139,2017,1500,chevrolet,46091
140,2016,dart,dodge,49033
141,2018,mpv,dodge,33957
142,2008,van,dodge,177948
143,2017,2500,chevrolet,19845
144,2018,doors,dodge,38910
145,2014,door,dodge,123660
146,2017,1500,chevrolet,31234
147,2018,doors,dodge,36767
148,2015,esv,cadillac,57932
149,2018,mpv,dodge,19420
150,2014,cutaway,ford,204155
151,2016,1500,chevrolet,93493
152,2018,doors,chrysler,20942
153,2016,door,ford,86826
154,2015,door,chevrolet,45787
155,2018,mpv,dodge,50765
156,2016,explorer,ford,62774
157,2011,door,chevrolet,76326
158,2018,mpv,dodge,39029
159,2016,el,ford,72885
160,2016,door,cadillac,46467
161,2018,mpv,dodge,6743
162,2016,edge,ford,33514
163,2016,series,bmw,39917
164,2018,doors,dodge,32504
165,2016,door,ford,77638
166,2016,series,bmw,31727
167,2018,doors,dodge,52966
168,2016,flex,ford,24157
169,2016,door,buick,51393
170,2018,doors,dodge,35461
171,2014,door,ford,47055
172,2016,series,bmw,33110
173,2018,mpv,dodge,39721
174,2014,door,ford,75785
175,2016,1500,chevrolet,33624
176,2017,door,ford,42289
177,2014,door,ford,79422
178,2016,door,chevrolet,28844
179,2017,door,ford,66582
180,2015,door,ford,61436
181,2016,door,chevrolet,58303
182,2017,mpv,ford,55618
183,2009,van,chevrolet,261648
184,2016,door,chevrolet,33045
185,2017,door,ford,40747
186,2002,pk,dodge,185460
187,2016,srx,cadillac,26667
188,2017,door,ford,37176
189,2000,door,chrysler,231240
190,2016,colorado,chevrolet,18006
191,2017,door,ford,72445
192,2014,door,ford,123355
193,2016,1500,chevrolet,44116
194,2017,door,ford,60219
195,2011,door,ford,135077
196,2016,door,chevrolet,32058
197,2017,mpv,ford,76858
198,2011,cab,ford,309564
199,2016,door,chevrolet,33928
200,2017,wagon,ford,90618
201,2001,pickup,dodge,109360
202,2016,door,chevrolet,71809
203,2017,doors,ford,31563
204,2005,pickup,dodge,219823
205,2018,malibu,chevrolet,42090
206,2017,door,ford,126523
207,2020,vehicl,chevrolet,7232
208,2017,encore,buick,60171
209,2017,wagon,ford,209915
210,2005,door,chrysler,151815
211,2020,camaro,chevrolet,13826
212,2017,mpv,ford,55854
213,2016,door,ford,45757
214,2020,trax,chevrolet,16545
215,2017,door,ford,112893
216,2016,door,ford,126802
217,2020,tahoe,chevrolet,13303
218,2017,door,ford,34061
219,2015,door,ford,70251
220,2020,tahoe,chevrolet,13679
221,2017,doors,ford,42426
222,2012,door,dodge,66452
223,2020,trax,chevrolet,18221
224,2017,mpv,ford,41455
225,2011,door,dodge,35275
226,2020,tahoe,chevrolet,13885
227,2017,door,ford,38815
228,2011,door,dodge,162281
229,2013,door,chevrolet,56479
230,2017,doors,ford,61027
231,2014,van,ford,178703
232,2014,3500,chevrolet,173469
233,2017,door,ford,37321
234,2014,door,ford,112789
235,2011,door,bmw,80394
236,2016,door,ford,68142
237,2014,door,dodge,74203
238,2018,2500,chevrolet,57604
239,2016,van,dodge,87229
240,2012,door,ford,90711
241,2018,suburban,chevrolet,11135
242,2016,mpv,ford,66781
243,2011,cargo,ford,190994
244,2018,2500,chevrolet,56007
245,2016,mpv,ford,32486
246,2011,door,ford,195908
247,2018,equinox,chevrolet,18020
248,2016,mpv,dodge,83262
249,2008,pickup,ford,62015
250,2017,equinox,chevrolet,36421
251,2016,door,ford,73321
252,2008,chassis,ford,132379
253,2017,equinox,chevrolet,28013
254,2016,mpv,ford,33291
255,2005,chassis,ford,225236
256,2016,door,chevrolet,43176
257,2016,mpv,ford,36876
258,2006,pickup,dodge,111782
